Timestamp,"First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [West with Giraffes]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [Gunfight: My Battle Against the Industry that Radicalized America]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [Recursion]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [The Lovely Bones]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [The Southern Book Club's Guide to Slaying Vampires]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [A Year in Provence]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [The Night Watchman]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [When We Cease to Understand the World]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [The House in the Cerulean Sea]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [The Haunting Season]","First, let's get some feedback on the books we read this year, on a scale of 1 (very bad) to 5 (excellent), please rank the following: [The Bear and the Nightingale]","One potential change for 2023 would be rather than voting for books, one month would be assigned to each person who is interested, and they would have sole discretion over what book is chosen for that month. How do you feel about how the books should be chosen for 2023? Depending on how many people are interested, we'd try to assign months before January","Also up for consideration is making one of the months a show & tell month. Rather than all reading the same book, we would all read our own and then tell the group about it. Or we could split off into pairs and each pair would read a separate book.",Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [Telegraph Beer Garden],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [Drakes],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [The Factory],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [Two Pitchers Brewing Company],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [Low Bar],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [Dona],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [McBears Social Club],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [Radio Bar],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [Mad Oak],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [The Avenue],Location Location Location! By my notes we managed to go to a different location almost every month (we went to Drakes twice) What were some of your favorite locations we went to this year for club? [Peoples houses],Are you interested in Movie Club?,How would you want to participate in a movie club discussion?,Anything else about book club that you'd like to share or comment on?
12/12/2022 18:51:54,⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐,⭐⭐,⭐⭐⭐⭐⭐,⭐⭐,⭐⭐,Enact new system of a different person choosing the book each month,I'd like to read a book in a pairing and share,Loved it!,Good,Good,Good,Okay,Good,Didn't go,Loved it!,Loved it!,Good,Good,Yes,Online in a Discord video/audio chat,what a great survey!
12/12/2022 18:55:57,⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐,⭐,,,,,,,Enact new system of a different person choosing the book each month,I'd like to read a book by myself and share with the group,Loved it!,Loved it!,Loved it!,Loved it!,Loved it!,Loved it!,Didn't go,Good,Good,Good,Didn't go,,,
12/12/2022 19:56:28,,,,,⭐⭐,⭐⭐⭐⭐⭐,⭐⭐,⭐,⭐⭐⭐,⭐⭐,didn't read/didn't finish,Enact new system of a different person choosing the book each month,I don't like this,Didn't go,Good,Didn't go,Didn't go,Didn't go,Didn't go,Didn't go,Didn't go,Good,Didn't go,Didn't go,Yes,Any of these,
12/12/2022 19:57:17,⭐⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐,⭐⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐⭐,⭐⭐⭐⭐,didn't read/didn't finish,didn't read/didn't finish,Keep Ranked Choice voting,I don't like this,Loved it!,Loved it!,Didn't go,Didn't go,Not a fan,Okay,Didn't go,Good,Good,Didn't go,Okay,Yes,in person at book club,
12/12/2022 22:34:56,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐,⭐⭐,⭐⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐⭐,⭐,⭐⭐⭐⭐⭐,didn't read/didn't finish,didn't read/didn't finish,Keep Ranked Choice voting,Everyone reads their own book and we just come to drink beer together Jk jk it’s great how it is,Okay,Good,Loved it!,Loved it!,Okay,Loved it!,Loved it!,Loved it!,Good,Okay,Didn't go,Maybe,Online just in a Discord text chat,Thanks for creating an inclusive space and curating a wonderful experience for all of us. I know it’s not easy corralling a bunch of sheep but it is greatly appreciated!
12/12/2022 22:51:09,⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐,didn't read/didn't finish,didn't read/didn't finish,didn't read/didn't finish,⭐⭐⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐⭐,My votes ranked: 1–Keep Ranked Choice Voting; 2–Enact New System; 3–Revert to Previous System,I'd like to read a book in a pairing and share,Good,Okay,,Loved it!,Not a fan,Loved it!,Okay,Not a fan,Good,Good,Loved it!,Yes,Online in a Discord video/audio chat,
12/13/2022 16:42:57,⭐⭐⭐⭐⭐,didn't read/didn't finish,didn't read/didn't finish,⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐,Keep Ranked Choice voting,I'd like to read a book by myself and share with the group,Loved it!,Loved it!,Okay,Loved it!,Okay,Loved it!,Good,Not a fan,Good,Loved it!,Loved it!,Yes,Online just in a Discord text chat,Thanks for putting together this survey!!!
12/15/2022 0:15:00,⭐⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐,Enact new system of a different person choosing the book each month,I'd like to read a book in a pairing and share,Not a fan,Okay,Good,Loved it!,Not a fan,Loved it!,Loved it!,Not a fan,Good,Good,Loved it!,Yes,Online in a Discord video/audio chat,I appreciate this group!
12/16/2022 11:56:19,⭐,⭐⭐⭐⭐,⭐⭐⭐,didn't read/didn't finish,⭐⭐⭐,⭐,didn't read/didn't finish,didn't read/didn't finish,⭐⭐⭐⭐⭐,didn't read/didn't finish,didn't read/didn't finish,Enact new system of a different person choosing the book each month,I'd like to read a book in a pairing and share,Good,Okay,Good,Didn't go,Good,Didn't go,Didn't go,Loved it!,Good,Good,Good,Yes,Online just in a Discord text chat,should we annually vote 1 member off?
12/17/2022 17:14:00,⭐⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐,Enact new system of a different person choosing the book each month,I'd like to read a book in a pairing and share,Good,Good,Loved it!,Good,Okay,Good,Good,Didn't go,Okay,Good,Good,Yes,in person at book club,
